Id,ruolo,Rm,nome,squadra,presenze,media_voto,fanta_media_fc,Gf,gol_subiti,rigori_parati,Rc,R+,R-,assist,ammonizioni,espulsioni,Au,rig_segnati,rig_tirati,gol_pg,assist_pg,ammonizioni_pg,titolarita_pct,xg_pg,gol_subiti_pg,clean_sheet_pg
4431,P,Por,Carnesecchi,Atalanta,37.0,6.36,5.58,0,35.0,2.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.974,0.0,0.946,0.388
2170,P,Por,Milinkovic-Savic V.,Napoli,27.0,6.2,5.65,0,24.0,3.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.711,0.0,0.889,0.411
5841,P,Por,Svilar,Roma,38.0,6.26,5.45,0,31.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.816,0.442
6966,P,Por,Butez,Como,38.0,6.07,5.37,0,29.0,1.0,0,0,0,1.0,3.0,0.0,0,0,0,0.0,0.026,0.079,1.0,0.0,0.763,0.466
4312,P,Por,Maignan,Milan,37.0,6.26,5.42,0,35.0,2.0,0,0,0,0.0,4.0,0.0,0,0,0,0.0,0.0,0.108,0.974,0.0,0.946,0.388
5876,P,Por,Di Gregorio,Juventus,30.0,6.08,5.33,0,25.0,1.0,0,0,0,0.0,1.0,0.0,0,0,0,0.0,0.0,0.033,0.789,0.0,0.833,0.435
2134,P,Por,Falcone,Lecce,38.0,6.41,5.22,0,50.0,2.0,0,0,0,0.0,2.0,0.0,0,0,0,0.0,0.0,0.053,1.0,0.0,1.316,0.268
6462,P,Por,Okoye,Udinese,30.0,6.07,5.08,0,32.0,1.0,0,0,0,1.0,1.0,1.0,0,0,0,0.0,0.033,0.033,0.789,0.0,1.067,0.344
2428,P,Por,Sommer,Inter,33.0,5.92,5.02,0,30.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.868,0.0,0.909,0.403
4360,P,Por,Caprile,Cagliari,38.0,6.29,4.87,0,53.0,0.0,0,0,0,0.0,2.0,0.0,0,0,0,0.0,0.0,0.053,1.0,0.0,1.395,0.248
761,P,Por,Audero,Cremonese,34.0,6.21,4.91,0,50.0,2.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.895,0.0,1.471,0.23
