,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
1,James Abankwah,ie IRL,DF,Udinese,22-220,2004,1,1,90,1.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,4b7a9fcc
2,Zakaria Aboukhlal,ma MAR,FWMF,Torino,26-187,2000,1,0,10,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,c2a6033c
3,Akor Adams,ng NGA,FW,Venezia,26-207,2000,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2ccd39ed
4,Ché Adams,sct SCO,FWMF,Torino,30-042,1996,1,0,21,0.2,1,0,1,1,0,0,0,0,4.29,0.00,4.29,4.29,4.29,Matches,f2bf1b0f
5,Vasilije Adžić,me MNE,MF,Sassuolo,20-104,2006,1,1,63,0.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,8b0f9fb8
6,Manuel Akanji,ch SUI,DF,Inter,31-036,1995,1,1,74,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,89ac64a6
7,Pontus Almqvist,se SWE,FWMF,Parma,27-045,1999,1,0,25,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0917188a
8,Amorim,br BRA,MF,Genoa,21-098,2005,1,1,74,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,87c4d798
9,Frank Anguissa,cm CMR,MF,Napoli,30-281,1995,1,1,66,0.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,6bb2c084
10,Yann Aurel Bisseck,de GER,DF,Inter,25-268,2000,1,1,90,1.0,1,0,1,1,0,0,0,0,1.00,0.00,1.00,1.00,1.00,Matches,3963c25b
11,Giuseppe Aurelio,it ITA,MF,Cagliari,26-155,2000,1,0,4,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,3bd2a854
12,Darryl Bakola,fr FRA,MF,Sassuolo,18-267,2007,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,57de24a3
13,Adam Bakoune,it ITA,MF,Monza,20-199,2006,1,1,69,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,e5301d8c
14,Tommaso Baldanzi,it ITA,MF,Genoa,23-154,2003,1,1,65,0.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,102e2599
15,Nicolò Barella,it ITA,MF,Inter,29-198,1997,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,6928979a
16,Davide Bartesaghi,it ITA,MF,Milan,20-238,2005,1,0,25,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,7e0b6c50
17,Toma Bašić,hr CRO,MF,Venezia,29-272,1996,1,1,84,0.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,80556f08
18,Alessandro Bastoni,it ITA,DF,Inter,27-133,1999,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,75b86fb3
19,Martin Baturina,hr CRO,MF,Como,23-189,2003,1,1,45,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,d1eda5f0
20,Vakoun Bayo,ci CIV,FW,Udinese,29-226,1997,1,0,19,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,132f161f
21,Armel Bella Kotchap,de GER,DF,Venezia,24-256,2001,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,a39d11bc
