id,nome,ruolo,costo,punti_scorsa_stagione,punti_previsti
0,Giocatore_0,D,38,5.67,5.43
1,Giocatore_1,C,58,5.59,5.57
2,Giocatore_2,C,27,5.64,5.42
3,Giocatore_3,C,22,6.41,6.35
4,Giocatore_4,C,37,5.85,6.05
5,Giocatore_5,P,23,6.15,6.21
6,Giocatore_6,P,23,6.01,5.58
7,Giocatore_7,C,41,7.88,7.27
8,Giocatore_8,C,26,8.26,8.41
9,Giocatore_9,D,11,7.24,7.46
10,Giocatore_10,D,32,6.4,5.87
11,Giocatore_11,C,18,6.75,6.48
12,Giocatore_12,A,75,10.45,11.03
13,Giocatore_13,C,54,6.22,6.61
14,Giocatore_14,C,19,7.51,8.21
15,Giocatore_15,C,44,6.75,6.63
16,Giocatore_16,D,29,6.86,7.29
17,Giocatore_17,A,121,7.28,7.9
18,Giocatore_18,P,10,4.89,5.31
19,Giocatore_19,P,7,6.43,6.87
20,Giocatore_20,A,147,6.94,6.62
21,Giocatore_21,C,31,6.83,6.64
22,Giocatore_22,D,11,5.82,5.52
23,Giocatore_23,P,16,5.86,5.69
24,Giocatore_24,P,20,5.22,4.88
25,Giocatore_25,P,19,5.6,6.11
26,Giocatore_26,D,33,5.53,5.44
27,Giocatore_27,P,19,6.19,6.03
28,Giocatore_28,P,9,4.86,5.3
29,Giocatore_29,A,121,8.14,7.43
30,Giocatore_30,A,49,10.19,10.85
31,Giocatore_31,P,5,6.18,6.54
32,Giocatore_32,A,148,9.27,9.03
33,Giocatore_33,C,20,8.36,8.6
34,Giocatore_34,D,25,6.25,6.71
35,Giocatore_35,P,24,6.27,6.63
36,Giocatore_36,A,73,7.21,7.06
37,Giocatore_37,P,21,5.5,5.41
38,Giocatore_38,C,51,6.48,6.86
39,Giocatore_39,P,17,5.53,4.98
40,Giocatore_40,P,20,4.7,4.83
41,Giocatore_41,P,4,6.1,6.38
42,Giocatore_42,D,29,5.55,6.08
43,Giocatore_43,P,14,5.38,5.28
44,Giocatore_44,D,36,5.0,4.85
45,Giocatore_45,D,14,6.02,6.28
46,Giocatore_46,P,14,6.3,6.8
47,Giocatore_47,C,13,6.14,6.26
48,Giocatore_48,A,107,6.62,6.43
49,Giocatore_49,D,23,5.5,5.59
50,Giocatore_50,C,32,6.09,5.96
51,Giocatore_51,A,108,10.15,10.91
52,Giocatore_52,C,6,6.99,6.85
53,Giocatore_53,D,13,5.85,5.67
54,Giocatore_54,A,24,8.6,8.98
55,Giocatore_55,C,21,8.42,8.03
56,Giocatore_56,P,5,6.15,6.54
57,Giocatore_57,A,102,6.56,6.45
58,Giocatore_58,A,99,8.38,8.48
59,Giocatore_59,P,14,5.27,5.22
60,Giocatore_60,A,88,6.58,6.16
61,Giocatore_61,P,13,5.71,5.56
62,Giocatore_62,A,29,6.82,6.63
63,Giocatore_63,P,20,5.92,5.42
64,Giocatore_64,A,148,6.64,7.07
65,Giocatore_65,D,4,7.12,7.56
66,Giocatore_66,D,8,5.82,5.48
67,Giocatore_67,A,42,6.04,5.77
68,Giocatore_68,C,9,7.53,7.15
69,Giocatore_69,A,89,9.67,9.94
70,Giocatore_70,C,40,6.19,5.59
71,Giocatore_71,D,12,6.64,6.17
72,Giocatore_72,C,43,8.03,7.8
73,Giocatore_73,P,1,5.46,5.37
74,Giocatore_74,D,16,7.0,7.35
75,Giocatore_75,C,1,7.29,8.01
76,Giocatore_76,A,150,6.01,6.33
77,Giocatore_77,P,1,5.19,4.68
78,Giocatore_78,C,14,7.23,7.42
79,Giocatore_79,C,27,5.98,6.48
80,Giocatore_80,C,3,8.06,8.85
81,Giocatore_81,P,5,6.22,6.83
82,Giocatore_82,P,1,5.29,5.58
83,Giocatore_83,C,17,6.53,7.14
84,Giocatore_84,P,2,5.13,5.23
85,Giocatore_85,D,20,5.32,5.47
86,Giocatore_86,D,20,6.67,6.93
87,Giocatore_87,P,1,6.07,5.54
88,Giocatore_88,C,51,5.84,6.35
89,Giocatore_89,A,24,8.17,7.95
90,Giocatore_90,C,15,6.94,6.52
91,Giocatore_91,D,29,7.26,7.45
92,Giocatore_92,D,28,5.97,5.43
93,Giocatore_93,A,58,9.33,9.6
94,Giocatore_94,D,17,5.05,5.44
95,Giocatore_95,C,41,8.42,8.95
96,Giocatore_96,P,3,4.51,4.74
97,Giocatore_97,D,6,6.83,7.36
98,Giocatore_98,P,20,6.16,5.56
99,Giocatore_99,C,5,8.22,7.58
100,Giocatore_100,C,12,7.36,7.96
101,Giocatore_101,A,39,7.0,6.39
102,Giocatore_102,D,19,5.74,5.8
103,Giocatore_103,D,39,6.07,5.68
104,Giocatore_104,D,31,6.71,6.04
105,Giocatore_105,P,23,4.5,4.08
106,Giocatore_106,D,14,6.72,6.86
107,Giocatore_107,C,40,7.39,7.29
108,Giocatore_108,A,141,8.05,7.98
109,Giocatore_109,P,18,4.53,4.64
110,Giocatore_110,P,8,5.47,5.68
111,Giocatore_111,A,147,6.84,6.62
112,Giocatore_112,P,5,5.66,5.15
113,Giocatore_113,C,6,8.29,8.07
114,Giocatore_114,C,1,6.24,5.93
115,Giocatore_115,D,1,7.25,7.88
116,Giocatore_116,D,25,6.37,6.32
117,Giocatore_117,A,42,10.29,10.68
118,Giocatore_118,A,81,8.86,8.15
119,Giocatore_119,C,56,7.8,7.12
120,Giocatore_120,P,19,5.67,5.24
121,Giocatore_121,D,11,6.7,6.72
122,Giocatore_122,P,25,5.01,4.91
123,Giocatore_123,A,39,8.11,8.32
124,Giocatore_124,A,65,9.86,10.06
125,Giocatore_125,A,128,10.42,9.81
126,Giocatore_126,A,74,8.9,8.03
127,Giocatore_127,D,11,7.23,7.22
128,Giocatore_128,D,9,6.27,6.57
129,Giocatore_129,C,51,6.81,7.36
130,Giocatore_130,C,30,8.26,8.4
131,Giocatore_131,D,40,6.76,6.31
132,Giocatore_132,P,22,5.7,6.01
133,Giocatore_133,A,92,9.19,8.5
134,Giocatore_134,A,118,6.65,6.3
135,Giocatore_135,A,107,10.25,10.47
136,Giocatore_136,P,2,5.79,5.27
137,Giocatore_137,P,18,5.62,6.15
138,Giocatore_138,C,22,7.67,7.78
139,Giocatore_139,D,27,6.92,7.47
140,Giocatore_140,A,92,8.95,8.37
141,Giocatore_141,A,108,9.77,10.54
142,Giocatore_142,C,27,6.36,6.54
143,Giocatore_143,P,16,4.54,4.61
144,Giocatore_144,A,139,9.48,9.72
145,Giocatore_145,A,27,7.78,7.12
146,Giocatore_146,C,55,7.51,7.63
147,Giocatore_147,P,3,6.49,6.52
148,Giocatore_148,A,85,10.27,10.49
149,Giocatore_149,A,123,8.1,8.33
150,Giocatore_150,D,15,5.91,6.26
151,Giocatore_151,C,27,7.29,6.93
152,Giocatore_152,C,14,7.2,7.03
153,Giocatore_153,A,53,6.29,6.29
154,Giocatore_154,D,11,5.45,5.94
155,Giocatore_155,P,1,6.45,7.05
156,Giocatore_156,D,38,5.4,5.56
157,Giocatore_157,A,118,9.11,10.01
158,Giocatore_158,D,25,6.36,6.12
159,Giocatore_159,A,133,6.28,6.36
160,Giocatore_160,A,78,8.36,8.75
161,Giocatore_161,D,37,6.19,5.66
162,Giocatore_162,D,6,7.29,7.69
163,Giocatore_163,D,20,7.18,6.84
164,Giocatore_164,D,19,6.06,5.93
165,Giocatore_165,P,21,5.69,5.93
166,Giocatore_166,C,42,5.69,5.19
167,Giocatore_167,D,27,6.68,6.88
168,Giocatore_168,P,16,4.63,4.35
169,Giocatore_169,C,17,7.53,7.47
170,Giocatore_170,A,108,7.8,7.12
171,Giocatore_171,C,29,8.41,8.74
172,Giocatore_172,C,50,6.56,5.96
173,Giocatore_173,A,23,9.11,9.74
174,Giocatore_174,A,79,8.96,8.77
175,Giocatore_175,P,1,5.45,5.37
176,Giocatore_176,D,11,7.29,7.67
177,Giocatore_177,D,34,6.59,6.39
178,Giocatore_178,D,36,5.94,5.83
179,Giocatore_179,D,18,6.7,7.15
180,Giocatore_180,D,39,6.63,6.67
181,Giocatore_181,A,52,10.34,10.86
