nome,ruolo,costo_iniziale,fanta_media
Sommer,P,18,5.72
Di Gregorio,P,14,5.48
Martinez J.,P,12,5.15
Carnesecchi,P,10,5.1
Provedel,P,15,4.9
Dimarco,D,22,7.15
Hernandez Theo,D,20,6.75
Calafiori,D,8,6.55
Bellanova,D,9,6.45
Buongiorno,D,14,6.6
Darmian,D,10,6.3
Pavard,D,15,6.25
Cambiaso,D,11,6.35
Bani,D,5,6.1
Gatti,D,10,6.4
Calhanoglu,C,25,7.8
Koopmeiners,C,24,7.65
Pulisic,C,22,7.75
Gudmundsson,C,12,7.9
Luis Alberto,C,20,6.95
Felipe Anderson,C,19,6.8
Colpani,C,10,7.1
Ferguson,C,12,7.2
Rabiot,C,18,6.85
Barella,C,20,6.7
Lautaro Martinez,A,45,8.95
Vlahovic,A,38,8.2
Osimhen,A,48,7.85
Giroud,A,32,7.95
Dybala,A,35,8.35
Zapata D.,A,25,7.7
Thuram,A,28,7.85
Scamacca,A,26,7.75
Lookman,A,27,7.9
Retegui,A,22,7.1
