,nome,ruolo,costo_iniziale,fanta_media,gol_pg,assist_pg,ammonizioni_pg,xg_pg,titolarita_pct,cambio_squadra,upgrade_squadra,tipo_prestito,coach_bonus,coach_style,presenze,gol_subiti_pg,clean_sheet_pg,qualita_mercato,eta,prime_factor,presenze_pct,gk_defense_score,bonus_potential,transfer_effect,disponibilita,forma_recente_score,previsione_ia,_temporal_model,vip_tpm,vip_p90,vip_youth,vip_position,vip_tactical_role,vip_formula,vip_total,vip_score,bonus_rigorista,bonus_punizioni,score_selezione,injury_modifier,injury_type,calendar_diff
0,Sommer,P,18,5.72,0.0,0.0,0.05,0.0,0.75,1,-1,0,0.0,equilibrato,25.0,1.2,0.3,0.375,35.0,0.20592424643419874,0.6578947368421053,0.29999999999999993,0.29999999999999993,-0.7,0.75,0.0,5.27,False,0.0,0.0,0.0,P,PORTIERE,0.0,0.0,5.27,0.0,0.0,5.27,1.0,,3.0
1,Di Gregorio,P,14,5.48,0.0,0.0,0.05,0.0,0.75,0,0,0,0.0,equilibrato,25.0,1.2,0.3,0.2916666666666667,26.0,0.9756109800648459,0.6578947368421053,0.29999999999999993,0.29999999999999993,0.0,0.75,0.0,5.27,False,0.0,0.0,0.0,P,PORTIERE,0.0,0.0,5.27,0.0,0.0,5.27,1.0,,3.0
2,Martinez J.,P,12,5.15,0.0,0.0,0.05,0.0,0.75,0,0,0,0.0,equilibrato,25.0,1.2,0.3,0.25,30.0,0.8007374029168081,0.6578947368421053,0.29999999999999993,0.29999999999999993,0.0,0.75,0.0,3.69,False,0.0,0.0,0.0,P,PORTIERE,0.0,0.0,5.27,0.0,0.0,3.6889999999999996,0.7,infortunio,3.0
3,Carnesecchi,P,10,5.1,0.0,0.0,0.05,0.0,0.75,0,0,0,0.0,equilibrato,25.0,1.2,0.3,0.20833333333333334,24.0,0.8007374029168081,0.6578947368421053,0.29999999999999993,0.29999999999999993,0.0,0.75,0.0,5.27,False,0.0,0.0,0.0,P,PORTIERE,0.0,0.0,5.27,0.0,0.0,5.27,1.0,,3.0
4,Provedel,P,15,4.9,0.0,0.0,0.05,0.0,0.75,1,0,0,0.0,contropiede,25.0,1.2,0.3,0.3125,30.0,0.8007374029168081,0.6578947368421053,0.29999999999999993,0.29999999999999993,-0.1,0.75,0.0,5.27,False,0.0,0.0,0.0,P,PORTIERE,0.0,0.0,5.27,0.0,0.0,5.27,1.0,,3.0
5,Dimarco,D,22,7.15,0.04,0.06,0.18,0.03,0.7,1,1,1,0.0,equilibrato,22.0,0.0,0.0,0.4583333333333333,26.0,0.9756109800648459,0.5789473684210527,0.0,0.15,0.3,0.7,0.0,7.98,False,0.42,-0.0069,0.0,QUINTO_ATT,TERZINO_BLOCCATO,0.0,0.4131,9.926,0.0,0.08,8.96334175,1.0,,3.0
6,Hernandez Theo,D,20,6.75,0.04,0.06,0.18,0.03,0.7,0,0,0,0.0,equilibrato,22.0,0.0,0.0,0.4166666666666667,26.0,0.9756109800648459,0.5789473684210527,0.0,0.15,0.0,0.7,0.0,7.51,False,0.45,-0.0069,0.0,QUINTO_ATT,TERZINO_BLOCCATO,0.0,0.4431,9.561,0.0,0.0,8.50377258,1.0,,3.0
7,Calafiori,D,8,6.55,0.04,0.06,0.18,0.03,0.7,0,0,0,0.0,equilibrato,22.0,0.0,0.0,0.16666666666666666,22.0,0.5394075072376265,0.5789473684210527,0.0,0.15,0.0,0.7,0.0,6.83,False,0.2,-0.0069,0.0,QUINTO_ATT,TERZINO_BLOCCATO,0.0,0.1931,7.701,0.0,0.0,7.2235460400000004,1.0,,3.0
8,Bellanova,D,9,6.45,0.04,0.06,0.18,0.03,0.7,0,0,0,0.0,equilibrato,22.0,0.0,0.0,0.1875,24.0,0.8007374029168081,0.5789473684210527,0.0,0.15,0.0,0.7,0.0,7.07,False,0.35,-0.0069,0.0,QUINTO_ATT,TERZINO_BLOCCATO,0.0,0.3431,8.606,0.0,0.0,7.79440631,1.0,,3.0
9,Buongiorno,D,14,6.6,0.04,0.06,0.18,0.03,0.7,0,0,0,0.0,equilibrato,22.0,0.0,0.0,0.2916666666666667,26.0,0.9756109800648459,0.5789473684210527,0.0,0.15,0.0,0.7,0.0,4.52,False,0.0,-0.0069,0.0,D,TERZINO_BLOCCATO,0.0,-0.0069,6.432,0.0,0.0,4.5147351129999995,0.7,infortunio,3.0
