nome_tm,da_squadra,a_squadra,tipo,cambio_squadra,upgrade_squadra,tipo_prestito,coach_bonus,coach_style
Djed Spence,Inter,Tottenham,definitivo,1,-1,0,0.0,equilibrato
Curtis Jones,Inter,Liverpool,definitivo,1,-1,0,0.0,equilibrato
Aleksandar Stanković,Inter,Club Bruges,definitivo,1,-1,0,0.0,equilibrato
Manuel Akanji,Inter,Man City,definitivo,1,-1,0,0.0,equilibrato
Ivan Provedel,Inter,Lazio,definitivo,1,0,0,0.05,contropiede
John Stones,Inter,Man City,definitivo,1,-1,0,0.0,equilibrato
Denzel Dumfries,Inter,Real Madrid,definitivo,1,-1,0,0.0,equilibrato
Davide Frattesi,Inter,Lazio,prestito,1,0,1,0.05,contropiede
Sebastiano Esposito,Inter,Cagliari,definitivo,1,-1,0,0.0,contropiede
Franco Carboni,Inter,Parma,definitivo,1,-1,0,0.05,equilibrato
Stefan de Vrij,Inter,Panathinaikos,definitivo,1,-1,0,0.0,equilibrato
Yann Sommer,Inter,Club Bruges,definitivo,1,-1,0,0.0,equilibrato
Ebenezer Akinsanmiro,Inter,Monza,prestito,1,-1,1,0.05,equilibrato
Matteo Darmian,Inter,svincolato,definitivo,1,-1,0,0.0,equilibrato
Francesco Acerbi,Inter,svincolato,definitivo,1,-1,0,0.0,equilibrato
Rasmus Højlund,SSC Napoli,Manchester Utd.,definitivo,1,-1,0,0.0,equilibrato
Alisson Santos,SSC Napoli,Sporting,definitivo,1,-1,0,0.0,equilibrato
Vanja Milinković-Savić,SSC Napoli,Torino,definitivo,1,-1,0,0.05,equilibrato
Benoît Badiashile,SSC Napoli,Chelsea,prestito,1,-1,1,0.0,equilibrato
Costantino Favasuli,SSC Napoli,Catanzaro,prestito,1,-1,1,0.0,equilibrato
Mattia Esposito,SSC Napoli,Sorrento,definitivo,1,-1,0,0.0,equilibrato
Christian Garofalo,SSC Napoli,Napoli U19,definitivo,1,0,0,0.2,possesso
Miguel Gutiérrez,SSC Napoli,Leverkusen,definitivo,1,-1,0,0.0,equilibrato
Giovanni Simeone,SSC Napoli,Torino,definitivo,1,-1,0,0.05,equilibrato
Romelu Lukaku,SSC Napoli,Fenerbahce,definitivo,1,-1,0,0.0,equilibrato
Alessandro Zanoli,SSC Napoli,Udinese,definitivo,1,-1,0,0.0,contropiede
Luis Hasa,SSC Napoli,Frosinone,definitivo,1,-1,0,0.05,pressing
Alessio Zerbin,SSC Napoli,Frosinone,definitivo,1,-1,0,0.05,pressing
Emanuele Rao,SSC Napoli,Pisa,prestito,1,-1,1,0.0,equilibrato
Coli Saco,SSC Napoli,Riga,definitivo,1,-1,0,0.0,equilibrato
Gennaro Iaccarino,SSC Napoli,Arezzo,definitivo,1,-1,0,0.0,equilibrato
Antonio Cioffi,SSC Napoli,Latina,definitivo,1,-1,0,0.0,equilibrato
Mathias Ferrante,SSC Napoli,Ospitaletto,prestito,1,-1,1,0.0,equilibrato
Claudio Turi,SSC Napoli,Pineto,prestito,1,-1,1,0.0,equilibrato
Lorenzo Sgarbi,SSC Napoli,Sambenedettese,prestito,1,-1,1,0.0,equilibrato
Juan Jesus,SSC Napoli,svincolato,definitivo,1,-1,0,0.0,equilibrato
Eljif Elmas,SSC Napoli,Lipsia,prestito,1,-1,1,0.0,equilibrato
Santiago Castro,AS Roma,Bologna,definitivo,1,-1,0,0.1,pressing
Rodrigo Mora,AS Roma,FC Porto,definitivo,1,-1,0,0.0,equilibrato
Donyell Malen,AS Roma,Aston Villa,definitivo,1,-1,0,0.0,equilibrato
Konstantinos Koulierakis,AS Roma,Wolfsburg,definitivo,1,-1,0,0.0,equilibrato
Nahuel Molina,AS Roma,Atlético,definitivo,1,-1,0,0.0,equilibrato
Daniele Ghilardi,AS Roma,Verona,definitivo,1,-1,0,0.05,pressing
Giorgio De Marzi,AS Roma,Roma U20,definitivo,1,0,0,0.1,equilibrato
Buba Sangaré,AS Roma,Elche,definitivo,1,-1,0,0.0,equilibrato
Saud Abdulhamid,AS Roma,Lens,definitivo,1,-1,0,0.0,equilibrato
Artem Dovbyk,AS Roma,Bologna,prestito,1,-1,1,0.1,pressing
Eldor Shomurodov,AS Roma,Basaksehir,definitivo,1,-1,0,0.0,equilibrato
Alessandro Romano,AS Roma,Cagliari,prestito,1,-1,1,0.0,contropiede
Zeki Çelik,AS Roma,Juventus,definitivo,1,0,0,0.05,equilibrato
Angeliño,AS Roma,Dep. A Coruña,prestito,1,-1,1,0.0,equilibrato
Marash Kumbulla,AS Roma,Rayo Vallecano,prestito,1,-1,1,0.0,equilibrato
Riccardo Pagano,AS Roma,Cesena,definitivo,1,-1,0,0.0,equilibrato
Radoslaw Zelezny,AS Roma,Perugia,prestito,1,-1,1,0.0,equilibrato
Luigi Cherubini,AS Roma,Benevento,prestito,1,-1,1,0.0,equilibrato
Filippo Reale,AS Roma,Carrarese,prestito,1,-1,1,0.0,equilibrato
Stephan El Shaarawy,AS Roma,svincolato,definitivo,1,-1,0,0.0,equilibrato
Bryan Zaragoza,AS Roma,Bayern,prestito,1,-1,1,0.0,equilibrato
Lorenzo Venturino,AS Roma,Genoa,prestito,1,-1,1,0.0,equilibrato
Konstantinos Tsimikas,AS Roma,Liverpool,prestito,1,-1,1,0.0,equilibrato
Evan Ferguson,AS Roma,Brighton,prestito,1,-1,1,0.0,equilibrato
Trevoh Chalobah,Como 1907,Chelsea,definitivo,1,1,0,0.0,equilibrato
Álvaro Morata,Como 1907,Milan,definitivo,1,1,0,0.15,pressing
Luis Milla,Como 1907,Getafe CF,definitivo,1,1,0,0.0,equilibrato
Mattia Liberali,Como 1907,Catanzaro,definitivo,1,1,0,0.0,equilibrato
Yan Couto,Como 1907,Dortmund,prestito,1,1,1,0.0,equilibrato
Andrés Cuenca,Como 1907,Barça Atlètic,definitivo,1,1,0,0.0,equilibrato
Kaiki,Como 1907,Cruzeiro,prestito,1,1,1,0.0,equilibrato
Andréa Le Borgne,Como 1907,Como U20,definitivo,1,0,0,0.1,possesso
Yannik Engelhardt,Como 1907,Friburgo,definitivo,1,1,0,0.0,equilibrato
Patrick Cutrone,Como 1907,Monza,definitivo,1,0,0,0.05,equilibrato
Stefan Posch,Como 1907,Magonza,definitivo,1,1,0,0.0,equilibrato
Mërgim Vojvoda,Como 1907,Udinese,definitivo,1,1,0,0.0,contropiede
Tommaso Cassandro,Como 1907,Palermo,definitivo,1,1,0,0.0,equilibrato
Ben Lhassine Kone,Como 1907,Frosinone,definitivo,1,0,0,0.05,pressing
Ali Jasim,Como 1907,Zakho SC,definitivo,1,1,0,0.0,equilibrato
Sergi Roberto,Como 1907,LA Galaxy,definitivo,1,1,0,0.0,equilibrato
Giuseppe Mazzaglia,Como 1907,Caratese,definitivo,1,1,0,0.0,equilibrato
Fellipe Jack,Como 1907,Cremonese,prestito,1,0,1,0.0,equilibrato
Fabio Rispoli,Como 1907,Südtirol,prestito,1,1,1,0.0,equilibrato
Alieu Fadera,Como 1907,Cagliari,prestito,1,0,1,0.0,contropiede
Jacopo Simonetta,Como 1907,Vado,prestito,1,1,1,0.0,equilibrato
Federico Chinetti,Como 1907,Mantova,prestito,1,1,1,0.0,equilibrato
Alberto Moreno,Como 1907,svincolato,definitivo,1,1,0,0.0,equilibrato
Diego Carlos,Como 1907,Fenerbahce,prestito,1,1,1,0.0,equilibrato
Nikola Cavlina,Como 1907,Dinamo Zagabria,prestito,1,1,1,0.0,equilibrato
Henrique Menke,Como 1907,Inter U20,prestito,1,1,1,0.1,pressing
Gonçalo Ramos,AC Milan,PSG,definitivo,1,-1,0,0.0,equilibrato
Diego Moreira,AC Milan,Strasburgo,definitivo,1,-1,0,0.0,equilibrato
Mario Gila,AC Milan,Lazio,definitivo,1,0,0,0.05,contropiede
Andrej Kostić,AC Milan,Partizan,definitivo,1,-1,0,0.0,equilibrato
Sankhoun Diawara,AC Milan,Troyes,definitivo,1,-1,0,0.0,equilibrato
Álex Jiménez,AC Milan,Bournemouth,definitivo,1,-1,0,0.0,equilibrato
Tommaso Pobega,AC Milan,Bologna,definitivo,1,-1,0,0.1,pressing
Lorenzo Colombo,AC Milan,Genoa,definitivo,1,-1,0,0.0,equilibrato
Zachary Athekame,AC Milan,Olymp. Lione,prestito,1,-1,1,0.0,equilibrato
David Odogu,AC Milan,Tolosa,prestito,1,-1,1,0.0,equilibrato
Ismaël Bennacer,AC Milan,svincolato,definitivo,1,-1,0,0.0,equilibrato
Niclas Füllkrug,AC Milan,West Ham Utd.,prestito,1,-1,1,0.0,equilibrato
Loïs Openda,Juventus FC,Lipsia,definitivo,1,-1,0,0.0,equilibrato
Randal Kolo Muani,Juventus FC,PSG,definitivo,1,-1,0,0.0,equilibrato
Kerim Alajbegovic,Juventus FC,Leverkusen,definitivo,1,-1,0,0.0,equilibrato
Jhon Lucumí,Juventus FC,Bologna,definitivo,1,-1,0,0.1,pressing
Jeff Ekhator,Juventus FC,Genoa,definitivo,1,-1,0,0.0,equilibrato
Jérémie Boga,Juventus FC,Nizza,definitivo,1,-1,0,0.0,equilibrato
Guglielmo Vicario,Juventus FC,Tottenham,prestito,1,-1,1,0.0,equilibrato
Timothy Weah,Juventus FC,Marsiglia,definitivo,1,-1,0,0.0,equilibrato
Facundo González,Juventus FC,Racing,definitivo,1,-1,0,0.0,equilibrato
João Mário,Juventus FC,Fiorentina,prestito,1,-1,1,0.15,possesso
Vasilije Adžić,Juventus FC,Sassuolo,prestito,1,-1,1,0.0,equilibrato
Dušan Vlahović,Juventus FC,Besiktas,definitivo,1,-1,0,0.0,equilibrato
Filip Kostic,Juventus FC,PSV,definitivo,1,-1,0,0.0,equilibrato
Arthur Melo,Juventus FC,svincolato,definitivo,1,-1,0,0.0,equilibrato
Emil Holm,Juventus FC,Bologna,prestito,1,-1,1,0.1,pressing
Gianluca Gaetano,Atalanta,Cagliari,definitivo,1,-1,0,0.0,contropiede
Thomas Kristensen,Atalanta,Udinese,prestito,1,0,1,0.0,contropiede
Paolo Vismara,Atalanta,Atalanta U23,definitivo,1,0,0,0.15,pressing
Marco Palestra,Atalanta,Chelsea,definitivo,1,0,0,0.0,equilibrato
Marco Brescianini,Atalanta,Fiorentina,definitivo,1,0,0,0.15,possesso
Berat Djimsiti,Atalanta,Al-Diriyah,definitivo,1,0,0,0.0,equilibrato
El Bilal Touré,Atalanta,Parma,prestito,1,-1,1,0.05,equilibrato
Daniel Maldini,Atalanta,Cagliari,prestito,1,-1,1,0.0,contropiede
Ben Godfrey,Atalanta,Glasgow Rangers,prestito,1,0,1,0.0,equilibrato
Giovanni Bonfanti,Atalanta,Las Palmas,prestito,1,0,1,0.0,equilibrato
Vanja Vlahović,Atalanta,Mantova,prestito,1,0,1,0.0,equilibrato
Francesco Rossi,Atalanta,Atalanta,definitivo,1,0,0,0.15,pressing
Yunus Musah,Atalanta,Milan,prestito,1,1,1,0.15,pressing
Mikel Amondarain,Bologna FC,Estudiantes LP,definitivo,1,0,0,0.0,equilibrato
Rahim Alhassane,Bologna FC,Real Oviedo,definitivo,1,0,0,0.0,equilibrato
Luigi Caccavo,Bologna FC,Lumezzane,definitivo,1,0,0,0.0,equilibrato
Roberto Piccoli,Bologna FC,Fiorentina,prestito,1,0,1,0.15,possesso
Ukko Happonen,Bologna FC,Bologna U20,definitivo,1,0,0,0.1,pressing
Dimitar Papazov,Bologna FC,Bologna U20,definitivo,1,0,0,0.1,pressing
Giovanni Fabbian,Bologna FC,Fiorentina,definitivo,1,0,0,0.15,possesso
Federico Ravaglia,Bologna FC,Watford,definitivo,1,0,0,0.0,equilibrato
Michel Aebischer,Bologna FC,Pisa,definitivo,1,0,0,0.0,equilibrato
Thijs Dallinga,Bologna FC,Colonia,prestito,1,0,1,0.0,equilibrato
Charalabos Lykogiannis,Bologna FC,AEK Atene,definitivo,1,0,0,0.0,equilibrato
Giuseppe Battimelli,Bologna FC,Lecco,definitivo,1,0,0,0.0,equilibrato
Remo Freuler,Bologna FC,Olympiacos,definitivo,1,0,0,0.0,equilibrato
Mattia Motolese,Bologna FC,Virtus Entella,definitivo,1,0,0,0.0,equilibrato
Manuel Rosetti,Bologna FC,Forlì,definitivo,1,0,0,0.0,equilibrato
Benja Domínguez,Bologna FC,Sassuolo,prestito,1,0,1,0.0,equilibrato
Mihajlo Ilić,Bologna FC,Cesena,prestito,1,0,1,0.0,equilibrato
Lorenzo Menegazzo,Bologna FC,Lumezzane,prestito,1,0,1,0.0,equilibrato
Niklas Pyyhtiä,Bologna FC,Südtirol,prestito,1,0,1,0.0,equilibrato
Riccardo Stivanello,Bologna FC,Südtirol,prestito,1,0,1,0.0,equilibrato
Tommaso Ebone,Bologna FC,Lumezzane,prestito,1,0,1,0.0,equilibrato
Wisdom Amey,Bologna FC,Frosinone,prestito,1,-1,1,0.05,pressing
Tommaso Corazza,Bologna FC,Vicenza,prestito,1,0,1,0.0,equilibrato
Orji Okwonkwo,Bologna FC,svincolato,definitivo,1,0,0,0.0,equilibrato
Kevin Bonifazi,Bologna FC,svincolato,definitivo,1,0,0,0.0,equilibrato
Simon Sohm,Bologna FC,Fiorentina,prestito,1,0,1,0.15,possesso
Boulaye Dia,SS Lazio,Salernitana,definitivo,1,-1,0,0.0,contropiede
Josip Sutalo,SS Lazio,Ajax,prestito,1,-1,1,0.0,equilibrato
Alfonso Pedraza,SS Lazio,Villarreal,definitivo,1,-1,0,0.0,equilibrato
Danilho Doekhi,SS Lazio,Union Berlino,definitivo,1,-1,0,0.0,equilibrato
Bruno Galassi,SS Lazio,Real Madrid C,definitivo,1,-1,0,0.0,equilibrato
Federico Serra,SS Lazio,Lazio U20,definitivo,1,0,0,0.05,contropiede
